epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4.46451,0.59951,0.59179,0.93184,0.93107,0.83834,0.95221,0.78773,0.72458,0.54848,1.06321,4.991e-05,4.991e-05,4.991e-05
2,8.25055,0.66063,0.57194,0.92122,0.92293,0.84486,0.9304,0.76392,0.75123,0.5573,1.082,0.000100307,0.000100307,0.000100307
3,12.0445,0.62879,0.59245,0.91749,0.82473,0.89116,0.93798,0.77162,0.72442,0.5601,1.07433,0.000148986,0.000148986,0.000148986
4,15.6638,0.65749,0.59738,0.91164,0.86275,0.90312,0.93985,0.77882,0.7141,0.55728,1.06694,0.000195946,0.000195946,0.000195946
5,19.2612,0.65122,0.60091,0.92982,0.9092,0.87873,0.93799,0.77105,0.71823,0.56874,1.08124,0.000202678,0.000202678,0.000202678
6,22.8913,0.67856,0.62263,0.94665,0.88749,0.85727,0.93465,0.7714,0.74349,0.61024,1.10151,0.000199097,0.000199097,0.000199097
7,26.5308,0.67122,0.62897,0.94241,0.88077,0.88841,0.9367,0.77344,0.73486,0.56774,1.07625,0.000195517,0.000195517,0.000195517
8,30.5055,0.64357,0.57121,0.94945,0.91784,0.85711,0.95335,0.78558,0.73083,0.53738,1.07856,0.000191936,0.000191936,0.000191936
9,34.1594,0.6393,0.57812,0.91628,0.80938,0.89954,0.95219,0.76891,0.77303,0.54668,1.11114,0.000188356,0.000188356,0.000188356
10,37.7467,0.62897,0.59375,0.92811,0.87737,0.87834,0.93746,0.76232,0.75758,0.56831,1.10496,0.000184775,0.000184775,0.000184775
11,41.3274,0.62828,0.54018,0.92379,0.91421,0.83546,0.93128,0.76687,0.75829,0.59568,1.1061,0.000181195,0.000181195,0.000181195
12,44.9459,0.66651,0.57641,0.92753,0.89693,0.856,0.92982,0.75971,0.772,0.57899,1.12717,0.000177614,0.000177614,0.000177614
13,48.6147,0.58825,0.53587,0.90034,0.88455,0.88885,0.93538,0.76855,0.75069,0.56491,1.08524,0.000174034,0.000174034,0.000174034
14,52.2132,0.58887,0.51605,0.89722,0.87513,0.90069,0.94513,0.77211,0.73402,0.5808,1.08227,0.000170453,0.000170453,0.000170453
15,55.8063,0.60253,0.56459,0.90695,0.83396,0.93013,0.96953,0.78984,0.74039,0.49808,1.10501,0.000166873,0.000166873,0.000166873
16,59.514,0.6445,0.58674,0.92303,0.9261,0.88603,0.94376,0.77146,0.76521,0.5008,1.12355,0.000163292,0.000163292,0.000163292
17,63.1843,0.60585,0.51893,0.89861,0.94152,0.8731,0.96659,0.80288,0.74966,0.48411,1.10665,0.000159712,0.000159712,0.000159712
18,67.0022,0.58319,0.58947,0.91244,0.93842,0.87601,0.95063,0.79072,0.71428,0.50083,1.09454,0.000156132,0.000156132,0.000156132
19,70.7827,0.6246,0.55357,0.92942,0.91106,0.87556,0.94472,0.78349,0.71606,0.50543,1.09064,0.000152551,0.000152551,0.000152551
20,74.4233,0.58737,0.5442,0.91145,0.94893,0.84262,0.92729,0.77808,0.70334,0.5203,1.07821,0.00014897,0.00014897,0.00014897
21,78.016,0.61596,0.51925,0.91793,0.95501,0.85989,0.93317,0.76561,0.73618,0.48479,1.09052,0.00014539,0.00014539,0.00014539
22,81.6571,0.61875,0.51365,0.90386,0.94931,0.86069,0.9372,0.76897,0.7414,0.48151,1.09033,0.000141809,0.000141809,0.000141809
23,85.2783,0.5955,0.50869,0.89284,0.84159,0.92556,0.94307,0.77719,0.75187,0.49922,1.09366,0.000138229,0.000138229,0.000138229
24,88.9123,0.5892,0.50142,0.89933,0.8698,0.92452,0.94855,0.77555,0.75312,0.49664,1.09747,0.000134648,0.000134648,0.000134648
25,92.5596,0.58634,0.48716,0.88964,0.93214,0.87345,0.94511,0.77366,0.74104,0.48844,1.0898,0.000131068,0.000131068,0.000131068
26,96.285,0.56687,0.49627,0.89268,0.87295,0.90974,0.94126,0.7722,0.73841,0.48132,1.09141,0.000127487,0.000127487,0.000127487
27,99.9561,0.56794,0.47349,0.90788,0.92056,0.87837,0.94519,0.778,0.752,0.49067,1.10606,0.000123907,0.000123907,0.000123907
28,103.626,0.5675,0.49687,0.9037,0.91524,0.89189,0.9475,0.78598,0.73548,0.49977,1.10176,0.000120326,0.000120326,0.000120326
29,107.279,0.55746,0.46563,0.88158,0.95635,0.86922,0.94875,0.79064,0.72824,0.50037,1.10383,0.000116746,0.000116746,0.000116746
30,111.071,0.55151,0.48323,0.89272,0.95201,0.87426,0.93735,0.78802,0.73413,0.48769,1.1187,0.000113165,0.000113165,0.000113165
31,114.674,0.54755,0.47434,0.89305,0.95495,0.87159,0.93323,0.76686,0.74798,0.49164,1.13809,0.000109585,0.000109585,0.000109585
32,118.268,0.54848,0.4648,0.8876,0.94671,0.86894,0.93336,0.77057,0.74415,0.48976,1.12336,0.000106004,0.000106004,0.000106004
33,121.852,0.52147,0.45361,0.87849,0.95206,0.87063,0.9354,0.7761,0.74131,0.47836,1.11783,0.000102424,0.000102424,0.000102424
