epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,217.629,0.56144,0.44621,0.89723,0.90285,0.77684,0.87226,0.62759,1.13897,0.59752,1.47965,7.378e-05,7.378e-05,7.378e-05
42,222.429,0.55293,0.41907,0.88609,0.91331,0.78426,0.8808,0.64353,1.14308,0.58514,1.47512,7.01995e-05,7.01995e-05,7.01995e-05
43,227.232,0.55323,0.42728,0.89521,0.91037,0.79342,0.87251,0.64041,1.13248,0.59253,1.48116,6.6619e-05,6.6619e-05,6.6619e-05
44,231.998,0.54399,0.4081,0.89201,0.91464,0.77192,0.87896,0.64539,1.15014,0.61343,1.49061,6.30385e-05,6.30385e-05,6.30385e-05
45,236.755,0.55316,0.43059,0.8973,0.79759,0.84861,0.86468,0.64093,1.14446,0.62913,1.48992,5.9458e-05,5.9458e-05,5.9458e-05
46,241.567,0.53772,0.40638,0.88843,0.91873,0.77878,0.88307,0.64429,1.1425,0.6148,1.49335,5.58775e-05,5.58775e-05,5.58775e-05
47,246.339,0.55606,0.42907,0.89117,0.91466,0.77936,0.88707,0.65904,1.12915,0.59801,1.49027,5.2297e-05,5.2297e-05,5.2297e-05
48,251.835,0.54041,0.41142,0.89179,0.91163,0.77582,0.88517,0.65987,1.11047,0.5906,1.48085,4.87165e-05,4.87165e-05,4.87165e-05
49,257.124,0.5404,0.40431,0.88622,0.90607,0.78315,0.88695,0.65942,1.10732,0.5938,1.46364,4.5136e-05,4.5136e-05,4.5136e-05
50,262.369,0.55774,0.426,0.88476,0.90595,0.78358,0.8737,0.64614,1.11792,0.60184,1.46445,4.15555e-05,4.15555e-05,4.15555e-05
51,280.654,0.50487,0.31443,0.87749,0.90648,0.78654,0.87436,0.64081,1.10961,0.60827,1.47274,3.7975e-05,3.7975e-05,3.7975e-05
52,285.791,0.49776,0.31161,0.881,0.84252,0.8336,0.87776,0.64594,1.11258,0.60983,1.47698,3.43945e-05,3.43945e-05,3.43945e-05
53,290.828,0.48475,0.30969,0.8714,0.84318,0.828,0.87502,0.64575,1.13085,0.60416,1.51315,3.0814e-05,3.0814e-05,3.0814e-05
54,296.018,0.47148,0.29623,0.85579,0.84156,0.83435,0.88229,0.64112,1.12898,0.59959,1.49837,2.72335e-05,2.72335e-05,2.72335e-05
55,301.098,0.47363,0.29783,0.87053,0.91218,0.78031,0.88184,0.64932,1.12349,0.59802,1.4984,2.3653e-05,2.3653e-05,2.3653e-05
56,306.317,0.46924,0.29572,0.86223,0.91165,0.78014,0.87954,0.64444,1.13605,0.59624,1.51971,2.00725e-05,2.00725e-05,2.00725e-05
57,311.401,0.47824,0.2956,0.8688,0.89396,0.79606,0.8798,0.64714,1.13096,0.59419,1.50978,1.6492e-05,1.6492e-05,1.6492e-05
58,316.496,0.45728,0.29141,0.85684,0.82321,0.84234,0.87464,0.64501,1.12495,0.60742,1.50293,1.29115e-05,1.29115e-05,1.29115e-05
59,321.581,0.45535,0.28938,0.86218,0.9134,0.77316,0.87369,0.6445,1.12236,0.60521,1.50301,9.331e-06,9.331e-06,9.331e-06
60,326.656,0.46763,0.29882,0.86599,0.83916,0.83622,0.8744,0.64304,1.12455,0.60791,1.5082,5.7505e-06,5.7505e-06,5.7505e-06
