epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.60058,1.51029,4.48625,1.43006,0.24382,0.15899,0.03453,0.02376,1.23301,3.81067,1.321,6.944e-05,6.944e-05,6.944e-05
2,12.6527,1.17541,3.292,1.12871,0.15391,0.28068,0.13197,0.09505,1.13913,3.29424,1.21686,0.000138723,0.000138723,0.000138723
3,18.6339,1.08794,2.72878,1.1164,0.20551,0.44449,0.27149,0.19495,1.17026,2.58002,1.24817,0.000205642,0.000205642,0.000205642
4,24.2154,1.06,2.34662,1.10233,0.38681,0.48954,0.40355,0.27836,1.17045,2.07536,1.29244,0.000206258,0.000206258,0.000206258
5,30.1102,1.01868,2.05325,1.09998,0.50796,0.45696,0.46844,0.32167,1.15209,1.96002,1.28345,0.000202678,0.000202678,0.000202678
6,35.9653,0.97607,1.87102,1.06283,0.58283,0.5356,0.57182,0.40746,1.12801,1.48904,1.30557,0.000199097,0.000199097,0.000199097
7,41.7826,0.98713,1.63512,1.07675,0.70989,0.52081,0.64583,0.46796,1.11483,1.35071,1.27773,0.000195517,0.000195517,0.000195517
8,47.8045,0.95934,1.50854,1.05999,0.64951,0.60574,0.68575,0.48658,1.13381,1.28285,1.29901,0.000191936,0.000191936,0.000191936
9,53.5641,0.93032,1.38446,1.05677,0.6392,0.66709,0.71147,0.50768,1.15954,1.18807,1.33668,0.000188356,0.000188356,0.000188356
10,59.3686,0.97873,1.3374,1.06715,0.80733,0.619,0.74287,0.52862,1.15712,1.12082,1.32896,0.000184775,0.000184775,0.000184775
11,65.1265,0.94311,1.25124,1.0626,0.7431,0.72741,0.77775,0.55832,1.13069,0.99281,1.31952,0.000181195,0.000181195,0.000181195
12,70.791,0.91922,1.19334,1.03901,0.59897,0.77926,0.79428,0.57764,1.10084,1.01391,1.32991,0.000177614,0.000177614,0.000177614
13,76.4079,0.88026,1.06364,1.03341,0.85667,0.66941,0.80653,0.58147,1.12377,0.93913,1.33011,0.000174034,0.000174034,0.000174034
14,82.5746,0.91336,1.09593,1.06189,0.81568,0.75243,0.80545,0.57121,1.11807,0.92287,1.3237,0.000170453,0.000170453,0.000170453
15,89.57,0.89938,1.05722,1.04927,0.8904,0.71746,0.82847,0.58043,1.14833,0.87805,1.3459,0.000166873,0.000166873,0.000166873
16,96.5911,0.86641,0.99712,1.03277,0.70707,0.78868,0.82876,0.59296,1.12745,0.82881,1.35615,0.000163292,0.000163292,0.000163292
17,103.614,0.89656,0.98899,1.03547,0.74824,0.77697,0.82365,0.58922,1.1086,0.81841,1.32798,0.000159712,0.000159712,0.000159712
18,110.502,0.87026,0.94724,1.01877,0.90293,0.7029,0.83078,0.59393,1.08407,0.81788,1.28294,0.000156132,0.000156132,0.000156132
19,117.775,0.85101,0.89547,1.017,0.72284,0.83526,0.84561,0.5884,1.15382,0.80179,1.34414,0.000152551,0.000152551,0.000152551
20,124.184,0.90743,0.89648,1.06516,0.7418,0.79986,0.8542,0.59901,1.13078,0.79611,1.34106,0.00014897,0.00014897,0.00014897
21,130.017,0.86962,0.85076,1.01777,0.86584,0.75925,0.85327,0.599,1.13634,0.77057,1.39955,0.00014539,0.00014539,0.00014539
22,135.725,0.86784,0.85163,1.02984,0.84996,0.77843,0.86051,0.60748,1.12372,0.7165,1.34288,0.000141809,0.000141809,0.000141809
23,141.606,0.81335,0.85797,1.00922,0.87589,0.75185,0.86487,0.60288,1.14685,0.73225,1.35018,0.000138229,0.000138229,0.000138229
24,147.303,0.82544,0.80247,1.01672,0.93889,0.75892,0.8749,0.63031,1.12337,0.7051,1.32866,0.000134648,0.000134648,0.000134648
25,153.138,0.84336,0.77587,0.99222,0.86151,0.75558,0.88621,0.63791,1.10401,0.72096,1.33025,0.000131068,0.000131068,0.000131068
26,158.966,0.83903,0.79163,1.0145,0.74022,0.84145,0.87223,0.62492,1.11145,0.73602,1.32484,0.000127487,0.000127487,0.000127487
27,164.697,0.80338,0.75079,0.99351,0.87497,0.76256,0.88139,0.62161,1.08979,0.73505,1.30633,0.000123907,0.000123907,0.000123907
28,170.422,0.80276,0.75713,0.99945,0.80368,0.79946,0.86959,0.62006,1.12069,0.7142,1.3402,0.000120326,0.000120326,0.000120326
29,176.147,0.80386,0.75428,0.98405,0.86215,0.7663,0.86569,0.62203,1.10237,0.70064,1.3191,0.000116746,0.000116746,0.000116746
30,181.882,0.80998,0.74903,1.00335,0.88159,0.73531,0.86204,0.61376,1.13665,0.7105,1.34759,0.000113165,0.000113165,0.000113165
31,187.588,0.76812,0.6924,0.98572,0.8912,0.75741,0.88478,0.64959,1.10097,0.67784,1.32078,0.000109585,0.000109585,0.000109585
32,193.504,0.75775,0.67802,0.95759,0.84579,0.78498,0.87498,0.63357,1.09408,0.68403,1.30344,0.000106004,0.000106004,0.000106004
33,199.192,0.74717,0.68219,0.98026,0.85639,0.78842,0.8827,0.64905,1.06341,0.66671,1.29809,0.000102424,0.000102424,0.000102424
34,204.92,0.74371,0.6857,0.96918,0.82506,0.80954,0.88067,0.62784,1.14552,0.66034,1.3775,9.88435e-05,9.88435e-05,9.88435e-05
35,210.585,0.74633,0.63047,0.97178,0.73843,0.88912,0.89614,0.64652,1.11759,0.6578,1.34515,9.5263e-05,9.5263e-05,9.5263e-05
36,216.208,0.75966,0.67089,0.96812,0.75222,0.87327,0.88332,0.63181,1.11554,0.68966,1.34646,9.16825e-05,9.16825e-05,9.16825e-05
37,221.781,0.74044,0.6564,0.961,0.86951,0.79529,0.88543,0.63703,1.09297,0.6984,1.31262,8.8102e-05,8.8102e-05,8.8102e-05
38,227.193,0.71055,0.64366,0.95015,0.86611,0.78095,0.88337,0.6433,1.0921,0.69223,1.31163,8.45215e-05,8.45215e-05,8.45215e-05
39,232.624,0.71151,0.62733,0.95988,0.82041,0.80956,0.8903,0.65315,1.09264,0.67468,1.30979,8.0941e-05,8.0941e-05,8.0941e-05
40,238.149,0.7148,0.6326,0.9485,0.89884,0.7826,0.8965,0.63902,1.14972,0.67677,1.36979,7.73605e-05,7.73605e-05,7.73605e-05
41,243.545,0.72607,0.627,0.95036,0.88644,0.77924,0.88862,0.6479,1.11826,0.65957,1.35592,7.378e-05,7.378e-05,7.378e-05
42,248.908,0.7148,0.60311,0.9403,0.84735,0.82438,0.90413,0.6456,1.12734,0.69856,1.35486,7.01995e-05,7.01995e-05,7.01995e-05
43,254.337,0.70898,0.61085,0.94813,0.86424,0.82781,0.89597,0.64421,1.09092,0.69843,1.338,6.6619e-05,6.6619e-05,6.6619e-05
44,259.981,0.68907,0.57447,0.94097,0.89151,0.8088,0.90554,0.64895,1.13281,0.68977,1.38437,6.30385e-05,6.30385e-05,6.30385e-05
45,265.483,0.70805,0.59718,0.95362,0.87995,0.81957,0.91163,0.66058,1.12902,0.65852,1.36579,5.9458e-05,5.9458e-05,5.9458e-05
46,271.033,0.68224,0.57267,0.93877,0.83628,0.86207,0.91465,0.65185,1.13818,0.65033,1.36565,5.58775e-05,5.58775e-05,5.58775e-05
47,276.51,0.70483,0.59358,0.93555,0.78897,0.89566,0.90799,0.66218,1.10007,0.65461,1.3272,5.2297e-05,5.2297e-05,5.2297e-05
48,282.105,0.68946,0.56325,0.93967,0.81145,0.85774,0.90776,0.664,1.07189,0.65319,1.315,4.87165e-05,4.87165e-05,4.87165e-05
49,287.713,0.677,0.56366,0.93065,0.82045,0.88674,0.90328,0.66203,1.0711,0.65706,1.32169,4.5136e-05,4.5136e-05,4.5136e-05
50,293.21,0.70589,0.58757,0.9357,0.81734,0.88351,0.90341,0.66343,1.08099,0.6486,1.32765,4.15555e-05,4.15555e-05,4.15555e-05
51,312.551,0.65486,0.4621,0.93636,0.83697,0.86018,0.90557,0.65226,1.10579,0.6549,1.35667,3.7975e-05,3.7975e-05,3.7975e-05
52,318.023,0.64991,0.45578,0.94194,0.84632,0.88218,0.91212,0.67198,1.08712,0.65078,1.34093,3.43945e-05,3.43945e-05,3.43945e-05
53,323.563,0.63456,0.44804,0.92244,0.86895,0.88021,0.9194,0.66472,1.10304,0.66097,1.35567,3.0814e-05,3.0814e-05,3.0814e-05
54,328.977,0.61655,0.4338,0.90585,0.86164,0.88201,0.92223,0.662,1.11492,0.65551,1.35937,2.72335e-05,2.72335e-05,2.72335e-05
55,334.381,0.62078,0.43072,0.92163,0.86986,0.89003,0.91987,0.66289,1.10495,0.6405,1.35326,2.3653e-05,2.3653e-05,2.3653e-05
56,339.926,0.60651,0.41859,0.90759,0.85883,0.86477,0.91412,0.66098,1.10693,0.64429,1.35919,2.00725e-05,2.00725e-05,2.00725e-05
57,345.484,0.62005,0.42321,0.91774,0.85657,0.86673,0.91686,0.65837,1.10829,0.63867,1.36174,1.6492e-05,1.6492e-05,1.6492e-05
58,350.912,0.60456,0.42018,0.90695,0.85694,0.88042,0.91799,0.65915,1.09915,0.63773,1.35428,1.29115e-05,1.29115e-05,1.29115e-05
59,356.355,0.59758,0.41485,0.91004,0.84112,0.88273,0.91609,0.66098,1.09631,0.6395,1.35411,9.331e-06,9.331e-06,9.331e-06
60,361.782,0.61916,0.43053,0.91958,0.84133,0.87861,0.91034,0.66042,1.1009,0.64489,1.36101,5.7505e-06,5.7505e-06,5.7505e-06
