epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,156.338,0.63134,0.56608,0.90693,0.95656,0.83414,0.95029,0.77885,0.75775,0.5557,1.08152,7.378e-05,7.378e-05,7.378e-05
42,160.275,0.61495,0.54263,0.90857,0.95653,0.835,0.96475,0.79573,0.74154,0.55165,1.06926,7.01995e-05,7.01995e-05,7.01995e-05
43,164.112,0.61372,0.51438,0.89802,0.95679,0.83941,0.96747,0.80376,0.73214,0.55003,1.06331,6.6619e-05,6.6619e-05,6.6619e-05
44,168.129,0.62429,0.52732,0.90985,0.88053,0.89222,0.9582,0.79886,0.73151,0.54746,1.06402,6.30385e-05,6.30385e-05,6.30385e-05
45,172.05,0.58571,0.51784,0.90177,0.90482,0.86374,0.96028,0.80765,0.72099,0.5387,1.06238,5.9458e-05,5.9458e-05,5.9458e-05
46,176.02,0.61534,0.53234,0.90191,0.89931,0.86283,0.94777,0.79492,0.72091,0.5327,1.06257,5.58775e-05,5.58775e-05,5.58775e-05
47,179.856,0.60302,0.53368,0.90129,0.8982,0.86275,0.9477,0.79337,0.72326,0.53095,1.06835,5.2297e-05,5.2297e-05,5.2297e-05
48,183.605,0.59609,0.49607,0.88783,0.89182,0.87566,0.95018,0.78886,0.73253,0.52738,1.07505,4.87165e-05,4.87165e-05,4.87165e-05
49,187.314,0.60347,0.52101,0.89673,0.92967,0.86107,0.95873,0.79083,0.72837,0.52645,1.06582,4.5136e-05,4.5136e-05,4.5136e-05
50,191.027,0.58976,0.49885,0.90767,0.95267,0.85377,0.95972,0.79333,0.72185,0.50446,1.06295,4.15555e-05,4.15555e-05,4.15555e-05
51,208.277,0.56013,0.38323,0.8904,0.95516,0.85272,0.94937,0.78767,0.72185,0.50151,1.07035,3.7975e-05,3.7975e-05,3.7975e-05
52,212.027,0.56308,0.39386,0.8947,0.95005,0.85869,0.95039,0.78044,0.73116,0.50478,1.07836,3.43945e-05,3.43945e-05,3.43945e-05
53,215.807,0.57211,0.39747,0.89762,0.94345,0.86168,0.9497,0.7885,0.72456,0.50334,1.07425,3.0814e-05,3.0814e-05,3.0814e-05
54,219.656,0.55301,0.39112,0.89523,0.9456,0.86328,0.95496,0.79362,0.71515,0.50084,1.07261,2.72335e-05,2.72335e-05,2.72335e-05
55,223.459,0.53483,0.36976,0.88143,0.94744,0.86708,0.95598,0.79635,0.71655,0.49453,1.07478,2.3653e-05,2.3653e-05,2.3653e-05
56,227.279,0.54209,0.38089,0.87731,0.93927,0.8654,0.95584,0.79367,0.71973,0.49954,1.0765,2.00725e-05,2.00725e-05,2.00725e-05
57,231.08,0.54232,0.38651,0.88626,0.93668,0.86256,0.95211,0.79459,0.72596,0.50033,1.0784,1.6492e-05,1.6492e-05,1.6492e-05
58,234.835,0.52932,0.37411,0.88275,0.93538,0.86,0.95196,0.79342,0.72959,0.50285,1.07817,1.29115e-05,1.29115e-05,1.29115e-05
59,238.541,0.52504,0.3729,0.87621,0.92506,0.86583,0.95545,0.79338,0.7279,0.50215,1.07616,9.331e-06,9.331e-06,9.331e-06
60,242.221,0.53541,0.36922,0.88616,0.93071,0.86257,0.95537,0.79365,0.72889,0.49825,1.07596,5.7505e-06,5.7505e-06,5.7505e-06
