epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.65971,1.68632,5.69542,1.46327,0.00695,0.10459,0.01259,0.01077,0.97704,4.86918,1.24226,2.13e-05,2.13e-05,2.13e-05
2,4.67871,1.18738,4.75035,1.2036,0.01683,0.16433,0.01956,0.01546,0.90826,4.56801,1.20179,4.3992e-05,4.3992e-05,4.3992e-05
3,6.67738,1.12879,4.19505,1.14166,0.05203,0.36078,0.04135,0.03189,0.77994,3.95306,1.03103,6.59107e-05,6.59107e-05,6.59107e-05
4,8.63601,0.96945,3.55368,1.05068,0.08976,0.24234,0.06331,0.05415,0.67133,4.43518,0.96096,8.70563e-05,8.70563e-05,8.70563e-05
5,11.185,0.95141,3.12946,1.04022,0.3361,0.17242,0.14085,0.12356,0.65641,3.71473,0.96069,0.000107429,0.000107429,0.000107429
6,13.0882,0.97011,2.83931,1.06134,0.23847,0.34217,0.22072,0.19086,0.65797,2.81754,0.98658,0.000127028,0.000127028,0.000127028
7,14.922,0.90512,2.59792,1.04157,0.45132,0.1936,0.22391,0.19708,0.63508,2.59275,0.98126,0.000145854,0.000145854,0.000145854
8,16.7467,0.88689,2.43785,1.02461,0.47423,0.25385,0.29682,0.2585,0.6114,2.34355,0.97416,0.000163907,0.000163907,0.000163907
9,18.5546,0.88429,2.23766,1.0104,0.34381,0.36154,0.34106,0.29585,0.61801,2.22677,0.97137,0.000181186,0.000181186,0.000181186
10,20.3782,0.84969,2.08958,0.9967,0.38308,0.44485,0.4426,0.39168,0.60751,2.05055,0.96901,0.000181369,0.000181369,0.000181369
11,22.2021,0.8992,1.99671,1.00217,0.53034,0.41961,0.46876,0.41405,0.58911,1.95308,0.96484,0.000177855,0.000177855,0.000177855
12,24.0456,0.83463,1.86391,0.98853,0.52083,0.46851,0.49008,0.4312,0.59701,1.81244,0.97397,0.00017434,0.00017434,0.00017434
13,25.8327,0.8849,1.81376,1.02951,0.54882,0.47742,0.53591,0.47012,0.59929,1.73957,0.97819,0.000170826,0.000170826,0.000170826
14,27.6391,0.82352,1.67631,0.99436,0.62124,0.48188,0.55045,0.48269,0.59256,1.67926,0.97692,0.000167311,0.000167311,0.000167311
15,29.4706,0.84372,1.6358,0.99673,0.46486,0.58459,0.55701,0.48663,0.60945,1.6546,0.97451,0.000163797,0.000163797,0.000163797
16,31.2841,0.79308,1.46981,0.98185,0.65808,0.57434,0.60032,0.53217,0.5949,1.60446,0.97633,0.000160282,0.000160282,0.000160282
17,33.0651,0.85575,1.52588,1.00256,0.62683,0.59441,0.64116,0.57313,0.59018,1.53719,0.97649,0.000156768,0.000156768,0.000156768
18,34.9067,0.77694,1.35077,0.97875,0.70105,0.52326,0.64334,0.56622,0.61737,1.48156,0.9893,0.000153254,0.000153254,0.000153254
19,36.8279,0.82197,1.39031,1.00214,0.79047,0.51912,0.65613,0.58372,0.59191,1.40465,0.97962,0.000149739,0.000149739,0.000149739
20,38.7383,0.76379,1.33151,0.97221,0.75056,0.58086,0.69234,0.62153,0.56785,1.3012,0.97342,0.000146225,0.000146225,0.000146225
21,40.61,0.81394,1.32662,0.99365,0.76382,0.5608,0.69496,0.6135,0.58753,1.32067,0.97855,0.00014271,0.00014271,0.00014271
22,42.4259,0.80159,1.24784,1.00233,0.71052,0.61292,0.69394,0.61885,0.57381,1.2989,0.97867,0.000139196,0.000139196,0.000139196
23,44.2526,0.78829,1.18709,0.97482,0.78169,0.59522,0.71142,0.63005,0.5788,1.22947,0.98863,0.000135681,0.000135681,0.000135681
24,46.0888,0.73953,1.15711,0.96866,0.76666,0.57972,0.69557,0.61785,0.58578,1.25077,0.98287,0.000132167,0.000132167,0.000132167
25,47.8584,0.76533,1.13186,0.96659,0.79866,0.59613,0.72815,0.64539,0.58562,1.24736,0.98381,0.000128652,0.000128652,0.000128652
26,49.775,0.74433,1.09293,0.95912,0.75048,0.64617,0.74729,0.66427,0.58369,1.17408,0.98046,0.000125137,0.000125137,0.000125137
27,51.6241,0.74641,1.08439,0.95777,0.74924,0.62852,0.72516,0.65076,0.56624,1.18154,0.97195,0.000121623,0.000121623,0.000121623
28,53.4499,0.78378,1.06432,0.9716,0.80977,0.62717,0.73563,0.65351,0.5797,1.17452,0.98191,0.000118108,0.000118108,0.000118108
29,55.264,0.72041,1.07153,0.95508,0.70076,0.6734,0.74512,0.66609,0.56933,1.17491,0.97062,0.000114594,0.000114594,0.000114594
30,57.1494,0.75434,1.03224,0.97242,0.85746,0.63697,0.75271,0.67807,0.54466,1.10659,0.95858,0.000111079,0.000111079,0.000111079
31,58.9339,0.71254,0.95711,0.94555,0.84213,0.6685,0.75714,0.6781,0.57535,1.07739,0.96692,0.000107565,0.000107565,0.000107565
32,60.7676,0.75797,1.00622,0.95159,0.79363,0.68588,0.76795,0.68517,0.57129,1.09632,0.96823,0.00010405,0.00010405,0.00010405
33,62.549,0.73134,0.98115,0.96257,0.7799,0.68773,0.75888,0.68064,0.55465,1.10234,0.96324,0.000100536,0.000100536,0.000100536
34,64.3114,0.72152,0.96148,0.95283,0.8698,0.6679,0.75982,0.68819,0.55503,1.08284,0.9689,9.70215e-05,9.70215e-05,9.70215e-05
35,66.1037,0.68841,0.9505,0.94728,0.84329,0.64275,0.75128,0.67912,0.55936,1.09087,0.96735,9.3507e-05,9.3507e-05,9.3507e-05
36,67.8719,0.75046,0.94716,0.96286,0.77101,0.68164,0.75012,0.67812,0.55368,1.08198,0.96623,8.99925e-05,8.99925e-05,8.99925e-05
37,69.606,0.71945,0.92081,0.94769,0.8188,0.65484,0.75011,0.67426,0.55875,1.07737,0.96676,8.6478e-05,8.6478e-05,8.6478e-05
38,71.5303,0.69726,0.90394,0.92873,0.86353,0.64453,0.75582,0.67946,0.55907,1.04428,0.96166,8.29635e-05,8.29635e-05,8.29635e-05
39,73.3172,0.72128,0.88248,0.95594,0.84294,0.6913,0.75393,0.67219,0.56661,1.05961,0.96356,7.9449e-05,7.9449e-05,7.9449e-05
40,75.119,0.74024,0.91705,0.94972,0.85437,0.66672,0.74647,0.66756,0.55539,1.05787,0.95991,7.59345e-05,7.59345e-05,7.59345e-05
41,76.9163,0.69643,0.90101,0.95029,0.86096,0.67003,0.75586,0.67697,0.54771,1.04202,0.95635,7.242e-05,7.242e-05,7.242e-05
42,78.6617,0.69969,0.91194,0.95197,0.86571,0.66559,0.75533,0.68103,0.55364,1.06739,0.9594,6.89055e-05,6.89055e-05,6.89055e-05
43,80.4026,0.68468,0.84537,0.93527,0.86826,0.68114,0.76693,0.69083,0.55551,1.00928,0.96011,6.5391e-05,6.5391e-05,6.5391e-05
44,82.2189,0.68563,0.85773,0.92195,0.88514,0.68326,0.76944,0.68839,0.56625,0.99613,0.96015,6.18765e-05,6.18765e-05,6.18765e-05
45,83.9662,0.69373,0.85527,0.94635,0.87659,0.68624,0.7735,0.69164,0.56311,0.99956,0.95763,5.8362e-05,5.8362e-05,5.8362e-05
46,85.7758,0.67645,0.82011,0.93538,0.78163,0.73154,0.7642,0.68788,0.55613,1.01597,0.95879,5.48475e-05,5.48475e-05,5.48475e-05
47,87.5332,0.6767,0.80261,0.92379,0.77935,0.73646,0.76709,0.69469,0.55602,0.99777,0.95747,5.1333e-05,5.1333e-05,5.1333e-05
48,89.3347,0.70629,0.83603,0.93849,0.88894,0.68702,0.76712,0.68829,0.57626,0.98494,0.96357,4.78185e-05,4.78185e-05,4.78185e-05
49,91.0936,0.70395,0.81936,0.94321,0.90616,0.67145,0.7746,0.69508,0.57709,0.9762,0.96492,4.4304e-05,4.4304e-05,4.4304e-05
