epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
41,803.851,0.69674,0.53302,0.9894,0.90203,0.82501,0.86143,0.62373,1.14983,0.59347,1.61304,7.378e-05,7.378e-05,7.378e-05
42,822.254,0.67119,0.51534,0.9713,0.8532,0.85108,0.87514,0.63976,1.12865,0.58903,1.56952,7.01995e-05,7.01995e-05,7.01995e-05
43,838.256,0.67564,0.50324,0.97155,0.95035,0.82019,0.88726,0.6495,1.09895,0.61038,1.52767,6.6619e-05,6.6619e-05,6.6619e-05
44,859.736,0.67083,0.50329,0.95905,0.92513,0.8248,0.88605,0.64863,1.10569,0.62321,1.53322,6.30385e-05,6.30385e-05,6.30385e-05
45,877.534,0.68014,0.52625,0.98674,0.91668,0.80686,0.8839,0.64396,1.13379,0.62922,1.55084,5.9458e-05,5.9458e-05,5.9458e-05
46,893.731,0.64405,0.49848,0.96533,0.91829,0.80307,0.87484,0.64096,1.12938,0.60695,1.57577,5.58775e-05,5.58775e-05,5.58775e-05
47,909.873,0.63411,0.47637,0.95259,0.83406,0.86323,0.87831,0.64548,1.08047,0.58893,1.54301,5.2297e-05,5.2297e-05,5.2297e-05
48,930.774,0.63168,0.48051,0.96756,0.82676,0.86427,0.88197,0.63508,1.1251,0.5898,1.61773,4.87165e-05,4.87165e-05,4.87165e-05
49,951.671,0.62296,0.49039,0.96031,0.87674,0.81952,0.87987,0.63498,1.11929,0.59865,1.61119,4.5136e-05,4.5136e-05,4.5136e-05
50,972.036,0.63664,0.48639,0.95713,0.79242,0.8874,0.8839,0.63828,1.14226,0.5926,1.63603,4.15555e-05,4.15555e-05,4.15555e-05
51,993.062,0.59429,0.38406,0.95753,0.81582,0.8813,0.88425,0.64736,1.11063,0.5889,1.59992,3.7975e-05,3.7975e-05,3.7975e-05
52,1009.02,0.58455,0.36491,0.94376,0.86898,0.86071,0.88332,0.64811,1.08461,0.59499,1.56375,3.43945e-05,3.43945e-05,3.43945e-05
53,1026.04,0.57866,0.36317,0.95477,0.86235,0.85461,0.86596,0.63748,1.11974,0.61628,1.60429,3.0814e-05,3.0814e-05,3.0814e-05
54,1047.51,0.56832,0.36093,0.94164,0.87784,0.85447,0.88132,0.6456,1.13057,0.59667,1.61941,2.72335e-05,2.72335e-05,2.72335e-05
55,1068,0.57259,0.36284,0.95115,0.85152,0.85618,0.88116,0.64461,1.12989,0.59289,1.61742,2.3653e-05,2.3653e-05,2.3653e-05
56,1084.46,0.56031,0.35123,0.93357,0.85718,0.86088,0.8842,0.63448,1.1468,0.58656,1.65843,2.00725e-05,2.00725e-05,2.00725e-05
57,1102.69,0.55151,0.34266,0.93989,0.85996,0.85828,0.87431,0.63904,1.1373,0.58807,1.64657,1.6492e-05,1.6492e-05,1.6492e-05
58,1119.02,0.53754,0.336,0.93117,0.91932,0.81714,0.86639,0.63505,1.12402,0.59032,1.63181,1.29115e-05,1.29115e-05,1.29115e-05
59,1134.69,0.54013,0.3352,0.93835,0.91612,0.81621,0.86685,0.63444,1.12883,0.59213,1.63758,9.331e-06,9.331e-06,9.331e-06
60,1150.44,0.55069,0.33822,0.94423,0.91359,0.81744,0.86423,0.63215,1.13161,0.59792,1.63889,5.7505e-06,5.7505e-06,5.7505e-06
